czas,e_temperatura,temperatura
0,2368,2368
4.736,1726.15,1742.61
9.472,1480.48,1489.45
14.208,1333.37,1339.26
18.944,1231.43,1235.71
23.68,1154.91,1158.21
28.416,1094.43,1097.1
33.152,1044.92,1047.13
37.888,1003.3,1005.18
42.624,967.607,969.233
47.36,936.507,937.933
52.096,909.055,910.32
56.832,884.562,885.697
61.568,862.513,863.538
66.304,842.51,843.443
71.04,824.242,825.096
75.776,807.462,808.249
80.512,791.97,792.698
85.248,777.602,778.279
89.984,764.223,764.855
94.72,751.72,752.311
99.456,739.997,740.552
104.192,728.973,729.496
108.928,718.577,719.071
113.664,708.751,709.218
118.4,699.44,699.883
123.136,690.601,691.022
127.872,682.192,682.592
132.608,674.178,674.56
137.344,666.528,666.893
142.08,659.213,659.563
146.816,652.21,652.545
151.552,645.495,645.816
156.288,639.048,639.357
161.024,632.852,633.148
165.76,626.888,627.174
170.496,621.144,621.419
175.232,615.604,615.87
179.968,610.257,610.514
184.704,605.091,605.339
189.44,600.096,600.336
194.176,595.261,595.493
198.912,590.579,590.804
203.648,586.04,586.259
208.384,581.638,581.85
213.12,577.366,577.571
217.856,573.216,573.416
222.592,569.183,569.377
227.328,565.261,565.45
232.064,561.445,561.629
236.8,557.73,557.909
241.536,554.111,554.286
246.272,550.585,550.755
251.008,547.147,547.312
255.744,543.793,543.954
260.48,540.519,540.677
265.216,537.323,537.477
269.952,534.202,534.352
274.688,531.151,531.299
279.424,528.17,528.313
284.16,525.254,525.394
288.896,522.401,522.539
293.632,519.609,519.744
298.368,516.876,517.008
303.104,514.2,514.329
307.84,511.578,511.705
312.576,509.009,509.133
317.312,506.491,506.613
322.048,504.022,504.141
326.784,501.6,501.717
331.52,499.225,499.339
336.256,496.893,497.006
340.992,494.605,494.715
345.728,492.358,492.467
350.464,490.151,490.258
355.2,487.984,488.089
359.936,485.854,485.957
364.672,483.761,483.862
369.408,481.704,481.803
374.144,479.681,479.779
378.88,477.691,477.788
383.616,475.735,475.829
388.352,473.81,473.903
393.088,471.916,472.007
397.824,470.051,470.141
402.56,468.216,468.305
407.296,466.409,466.497
412.032,464.63,464.716
416.768,462.877,462.962
421.504,461.151,461.235
426.24,459.45,459.533
430.976,457.774,457.855
435.712,456.122,456.202
440.448,454.494,454.573
445.184,452.889,452.967
449.92,451.306,451.383
454.656,449.745,449.821
459.392,448.206,448.28
464.128,446.687,446.761
468.864,445.189,445.261
473.6,443.71,443.782
478.336,442.251,442.322
483.072,440.811,440.881
487.808,439.39,439.459
492.544,437.987,438.055
497.28,436.601,436.669
502.016,435.233,435.3
506.752,433.882,433.948
511.488,432.548,432.612
516.224,431.23,431.293
520.96,429.927,429.99
525.696,428.641,428.703
530.432,427.369,427.431
535.168,426.113,426.174
539.904,424.871,424.931
544.64,423.643,423.703
549.376,422.43,422.489
554.112,421.23,421.288
558.848,420.044,420.102
563.584,418.871,418.928
568.32,417.711,417.768
573.056,416.564,416.62
577.792,415.43,415.485
582.528,414.307,414.362
587.264,413.197,413.251
592,412.098,412.152
596.736,411.011,411.064
601.472,409.936,409.988
606.208,408.871,408.923
610.944,407.818,407.869
615.68,406.775,406.826
620.416,405.743,405.793
625.152,404.722,404.771
629.888,403.71,403.759
634.624,402.709,402.757
639.36,401.717,401.765
644.096,400.735,400.783
648.832,399.763,399.81
653.568,398.8,398.847
658.304,397.846,397.892
663.04,396.901,396.947
667.776,395.966,396.011
672.512,395.039,395.084
677.248,394.12,394.165
681.984,393.21,393.254
686.72,392.309,392.352
691.456,391.415,391.459
696.192,390.53,390.573
700.928,389.653,389.695
705.664,388.783,388.825
710.4,387.921,387.963
715.136,387.067,387.109
719.872,386.22,386.262
724.608,385.381,385.422
729.344,384.549,384.589
734.08,383.724,383.764
738.816,382.906,382.946
743.552,382.095,382.134
748.288,381.291,381.33
753.024,380.493,380.532
757.76,379.703,379.741
762.496,378.918,378.956
767.232,378.14,378.178
771.968,377.369,377.406
776.704,376.604,376.641
781.44,375.845,375.881
786.176,375.092,375.128
790.912,374.345,374.381
795.648,373.603,373.64
800.384,372.868,372.904
805.12,372.139,372.174
809.856,371.415,371.45
814.592,370.697,370.732
819.328,369.984,370.019
824.064,369.277,369.311
828.8,368.575,368.609
833.536,367.878,367.912
838.272,367.187,367.221
843.008,366.501,366.534
847.744,365.82,365.853
852.48,365.144,365.177
857.216,364.473,364.505
861.952,363.807,363.839
866.688,363.145,363.177
871.424,362.489,362.521
876.16,361.837,361.869
880.896,361.19,361.221
885.632,360.547,360.578
890.368,359.909,359.94
895.104,359.276,359.307
899.84,358.647,358.677
904.576,358.022,358.052
909.312,357.402,357.432
914.048,356.786,356.816
918.784,356.174,356.204
923.52,355.566,355.596
928.256,354.963,354.992
932.992,354.363,354.392
937.728,353.768,353.797
942.464,353.176,353.205
947.2,352.589,352.617
951.936,352.005,352.033
956.672,351.425,351.453
961.408,350.849,350.877
966.144,350.277,350.305
970.88,349.709,349.736
975.616,349.144,349.171
980.352,348.583,348.61
985.088,348.025,348.052
989.824,347.471,347.498
994.56,346.92,346.947
999.296,346.373,346.4
1004.03,345.83,345.856
1008.77,345.289,345.316
1013.5,344.752,344.779
1018.24,344.219,344.245
1022.98,343.689,343.714
1027.71,343.162,343.187
1032.45,342.638,342.663
1037.18,342.117,342.142
1041.92,341.6,341.625
1046.66,341.085,341.11
1051.39,340.574,340.599
1056.13,340.066,340.091
1060.86,339.561,339.585
1065.6,339.058,339.083
1070.34,338.559,338.583
1075.07,338.063,338.087
1079.81,337.569,337.593
1084.54,337.079,337.103
1089.28,336.591,336.615
1094.02,336.106,336.13
1098.75,335.624,335.648
1103.49,335.145,335.168
1108.22,334.668,334.691
1112.96,334.194,334.217
1117.7,333.723,333.746
1122.43,333.254,333.277
1127.17,332.788,332.811
1131.9,332.325,332.347
1136.64,331.864,331.886
1141.38,331.406,331.428
1146.11,330.95,330.972
1150.85,330.497,330.519
1155.58,330.046,330.068
1160.32,329.598,329.619
1165.06,329.152,329.173
1169.79,328.708,328.73
1174.53,328.267,328.288
1179.26,327.828,327.85
1184,327.392,327.413
1188.74,326.958,326.979
1193.47,326.526,326.547
1198.21,326.096,326.117
1202.94,325.669,325.69
1207.68,325.244,325.264
1212.42,324.821,324.842
1217.15,324.4,324.421
1221.89,323.982,324.002
1226.62,323.565,323.586
1231.36,323.151,323.171
1236.1,322.739,322.759
1240.83,322.329,322.349
1245.57,321.921,321.941
1250.3,321.515,321.535
1255.04,321.111,321.131
1259.78,320.71,320.729
1264.51,320.31,320.329
1269.25,319.912,319.931
1273.98,319.516,319.535
1278.72,319.122,319.141
1283.46,318.73,318.749
1288.19,318.34,318.359
1292.93,317.952,317.971
1297.66,317.566,317.584
1302.4,317.181,317.2
1307.14,316.799,316.817
1311.87,316.418,316.437
1316.61,316.039,316.058
1321.34,315.662,315.68
1326.08,315.287,315.305
1330.82,314.913,314.931
1335.55,314.541,314.56
1340.29,314.172,314.19
1345.02,313.803,313.821
1349.76,313.437,313.455
1354.5,313.072,313.09
1359.23,312.709,312.726
1363.97,312.347,312.365
1368.7,311.987,312.005
1373.44,311.629,311.647
1378.18,311.273,311.29
1382.91,310.918,310.935
1387.65,310.565,310.582
1392.38,310.213,310.23
1397.12,309.863,309.88
1401.86,309.514,309.531
1406.59,309.168,309.184
1411.33,308.822,308.839
1416.06,308.478,308.495
1420.8,308.136,308.153
1425.54,307.795,307.812
1430.27,307.456,307.472
1435.01,307.118,307.134
1439.74,306.782,306.798
1444.48,306.447,306.463
1449.22,306.113,306.13
1453.95,305.781,305.798
1458.69,305.451,305.467
1463.42,305.122,305.138
1468.16,304.794,304.81
1472.9,304.468,304.484
1477.63,304.143,304.159
1482.37,303.819,303.835
1487.1,303.497,303.513
1491.84,303.177,303.192
1496.58,302.857,302.873
1501.31,302.539,302.555
1506.05,302.222,302.238
1510.78,301.907,301.922
1515.52,301.593,301.608
1520.26,301.28,301.295
1524.99,300.968,300.984
1529.73,300.658,300.673
1534.46,300.349,300.364
1539.2,300.042,300.057
1543.94,299.735,299.75
1548.67,299.43,299.445
1553.41,299.126,299.141
1558.14,298.823,298.838
1562.88,298.522,298.536
1567.62,298.221,298.236
1572.35,297.922,297.937
1577.09,297.625,297.639
1581.82,297.328,297.342
1586.56,297.032,297.047
1591.3,296.738,296.752
1596.03,296.445,296.459
1600.77,296.153,296.167
1605.5,295.862,295.876
1610.24,295.572,295.586
1614.98,295.284,295.298
1619.71,294.996,295.01
1624.45,294.71,294.724
1629.18,294.424,294.438
1633.92,294.14,294.154
1638.66,293.857,293.871
1643.39,293.575,293.589
1648.13,293.294,293.308
1652.86,293.015,293.028
1657.6,292.736,292.749
1662.34,292.458,292.472
1667.07,292.181,292.195
1671.81,291.906,291.919
1676.54,291.631,291.645
1681.28,291.358,291.371
1686.02,291.085,291.098
1690.75,290.814,290.827
1695.49,290.543,290.556
1700.22,290.274,290.287
1704.96,290.005,290.018
1709.7,289.738,289.751
1714.43,289.471,289.484
1719.17,289.206,289.219
1723.9,288.941,288.954
1728.64,288.677,288.69
1733.38,288.415,288.428
1738.11,288.153,288.166
1742.85,287.892,287.905
1747.58,287.633,287.645
1752.32,287.374,287.386
1757.06,287.116,287.128
1761.79,286.859,286.871
1766.53,286.603,286.615
1771.26,286.348,286.36
1776,286.093,286.106
1780.74,285.84,285.852
1785.47,285.587,285.6
1790.21,285.336,285.348
1794.94,285.085,285.097
1799.68,284.835,284.847
1804.42,284.586,284.598
1809.15,284.338,284.35
1813.89,284.091,284.103
1818.62,283.845,283.857
1823.36,283.599,283.611
1828.1,283.354,283.366
1832.83,283.111,283.123
1837.57,282.868,282.879
1842.3,282.625,282.637
1847.04,282.384,282.396
1851.78,282.144,282.155
1856.51,281.904,281.916
1861.25,281.665,281.677
1865.98,281.427,281.439
1870.72,281.19,281.201
1875.46,280.953,280.965
1880.19,280.718,280.729
1884.93,280.483,280.494
1889.66,280.249,280.26
1894.4,280.015,280.027
1899.14,279.783,279.794
1903.87,279.551,279.562
1908.61,279.32,279.331
1913.34,279.09,279.101
1918.08,278.86,278.871
1922.82,278.632,278.643
1927.55,278.404,278.415
1932.29,278.176,278.187
1937.02,277.95,277.961
1941.76,277.724,277.735
1946.5,277.499,277.51
1951.23,277.275,277.286
1955.97,277.051,277.062
1960.7,276.828,276.839
1965.44,276.606,276.617
1970.18,276.385,276.395
1974.91,276.164,276.175
1979.65,275.944,275.955
1984.38,275.725,275.735
1989.12,275.506,275.517
1993.86,275.288,275.299
1998.59,275.071,275.081
2003.33,274.854,274.865
2008.06,274.638,274.649
2012.8,274.423,274.434
2017.54,274.209,274.219
2022.27,273.995,274.005
2027.01,273.781,273.792
2031.74,273.569,273.579
2036.48,273.357,273.367
2041.22,273.146,273.156
2045.95,272.935,272.945
2050.69,272.725,272.736
2055.42,272.516,272.526
2060.16,272.307,272.318
2064.9,272.099,272.109
2069.63,271.892,271.902
2074.37,271.685,271.695
2079.1,271.479,271.489
2083.84,271.274,271.284
2088.58,271.069,271.079
2093.31,270.865,270.874
2098.05,270.661,270.671
2102.78,270.458,270.468
2107.52,270.255,270.265
2112.26,270.054,270.063
2116.99,269.852,269.862
2121.73,269.652,269.662
2126.46,269.452,269.462
2131.2,269.252,269.262
2135.94,269.054,269.063
2140.67,268.855,268.865
2145.41,268.658,268.667
2150.14,268.461,268.47
2154.88,268.264,268.274
2159.62,268.068,268.078
2164.35,267.873,267.882
2169.09,267.678,267.687
2173.82,267.484,267.493
2178.56,267.29,267.299
2183.3,267.097,267.106
2188.03,266.904,266.914
2192.77,266.712,266.722
2197.5,266.521,266.53
2202.24,266.33,266.339
2206.98,266.14,266.149
2211.71,265.95,265.959
2216.45,265.761,265.77
2221.18,265.572,265.581
2225.92,265.384,265.393
2230.66,265.196,265.205
2235.39,265.009,265.018
2240.13,264.822,264.831
2244.86,264.636,264.645
2249.6,264.451,264.46
2254.34,264.266,264.275
2259.07,264.081,264.09
2263.81,263.897,263.906
2268.54,263.713,263.722
2273.28,263.531,263.539
2278.02,263.348,263.357
2282.75,263.166,263.175
2287.49,262.985,262.993
2292.22,262.804,262.812
2296.96,262.623,262.632
2301.7,262.443,262.452
2306.43,262.264,262.272
2311.17,262.085,262.093
2315.9,261.906,261.915
2320.64,261.728,261.737
2325.38,261.551,261.559
2330.11,261.373,261.382
2334.85,261.197,261.205
2339.58,261.021,261.029
2344.32,260.845,260.854
2349.06,260.67,260.678
2353.79,260.495,260.504
2358.53,260.321,260.33
2363.26,260.147,260.156
2368,259.974,259.982
