x,blad
0,0.0865497
0.015,0.0432443
0.03,0.0115034
0.045,0.0106235
0.06,0.0248724
0.075,0.0327791
0.09,0.0356931
0.105,0.0347909
0.12,0.0310891
0.135,0.0254573
0.15,0.0186301
0.165,0.0112189
0.18,0.0037233
0.195,0.00345779
0.21,0.010016
0.225,0.0157236
0.24,0.0204236
0.255,0.0240214
0.27,0.0264757
0.285,0.0277911
0.3,0.0280101
0.315,0.0272066
0.33,0.0254792
0.345,0.0229453
0.36,0.0197357
0.375,0.0159897
0.39,0.0118504
0.405,0.007461
0.42,0.0029613
0.435,0.00151554
0.45,0.00584545
0.465,0.00991563
0.48,0.0136263
0.495,0.016892
0.51,0.0196426
0.525,0.0218239
0.54,0.0233977
0.555,0.024342
0.57,0.0246507
0.585,0.0243325
0.6,0.0234105
0.615,0.0219211
0.63,0.0199124
0.645,0.0174431
0.66,0.0145808
0.675,0.0114004
0.69,0.00798238
0.705,0.00441083
0.72,0.000771886
0.735,0.00284821
0.75,0.00636484
0.765,0.00969669
0.78,0.0127674
0.795,0.0155072
0.81,0.0178539
0.825,0.0197548
0.84,0.021167
0.855,0.0220589
0.87,0.0224105
0.885,0.0222142
0.9,0.0214748
0.915,0.0202096
0.93,0.0184483
0.945,0.0162324
0.96,0.0136146
0.975,0.010658
0.99,0.00743484
1.005,0.00402516
1.02,0.000515305
1.035,0.00300386
1.05,0.0064388
1.065,0.00969544
1.08,0.0126813
1.095,0.0153076
1.11,0.0174921
1.125,0.0191608
1.14,0.0202508
1.155,0.0207125
1.17,0.0205117
1.185,0.0196317
1.2,0.0180757
1.215,0.0158679
1.23,0.0130551
1.245,0.00970836
1.26,0.00592299
1.275,0.00181946
1.29,0.00245698
1.305,0.00673686
1.32,0.0108278
1.335,0.0145162
1.35,0.01757
1.365,0.0197419
1.38,0.0207733
1.395,0.0203992
1.41,0.0183542
1.425,0.0143788
1.44,0.00822754
1.455,0.000322921
1.47,0.0114637
1.485,0.0253433
1.5,0.0420552
