czas,e_temperatura,temperatura
0,2368,2368
2.368,1772.34,1963.3
4.736,1585.42,1742.61
7.104,1465.73,1596.38
9.472,1378.3,1489.45
11.84,1309.93,1406.41
14.208,1254.15,1339.26
16.576,1207.28,1283.33
18.944,1167.04,1235.71
21.312,1131.9,1194.46
23.68,1100.8,1158.21
26.048,1072.99,1126
28.416,1047.88,1097.1
30.784,1025.03,1070.95
33.152,1004.12,1047.13
35.52,984.863,1025.3
37.888,967.04,1005.18
40.256,950.473,986.552
42.624,935.012,969.233
44.992,920.533,953.069
47.36,906.93,937.933
49.728,894.114,923.714
52.096,882.007,910.32
54.464,870.542,897.671
56.832,859.662,885.697
59.2,849.316,874.337
61.568,839.459,863.538
63.936,830.051,853.254
66.304,821.059,843.443
68.672,812.449,834.068
71.04,804.195,825.096
73.408,796.272,816.499
75.776,788.656,808.249
78.144,781.327,800.322
80.512,774.267,792.698
82.88,767.459,785.356
85.248,760.887,778.279
87.616,754.538,771.45
89.984,748.397,764.855
92.352,742.454,758.479
94.72,736.698,752.311
97.088,731.118,746.339
99.456,725.705,740.552
101.824,720.451,734.941
104.192,715.347,729.496
106.56,710.386,724.208
108.928,705.562,719.071
111.296,700.867,714.076
113.664,696.296,709.218
116.032,691.843,704.489
118.4,687.503,699.883
120.768,683.271,695.396
123.136,679.142,691.022
125.504,675.112,686.755
127.872,671.177,682.592
130.24,667.332,678.529
132.608,663.575,674.56
134.976,659.902,670.683
137.344,656.31,666.893
139.712,652.795,663.187
142.08,649.355,659.563
144.448,645.986,656.016
146.816,642.688,652.545
149.184,639.456,649.146
151.552,636.288,645.816
153.92,633.183,642.554
156.288,630.138,639.357
158.656,627.151,636.222
161.024,624.22,633.148
163.392,621.344,630.133
165.76,618.521,627.174
168.128,615.748,624.27
170.496,613.025,621.419
172.864,610.349,618.62
175.232,607.72,615.87
177.6,605.137,613.168
179.968,602.596,610.514
182.336,600.098,607.904
184.704,597.642,605.339
187.072,595.225,602.817
189.44,592.847,600.336
191.808,590.507,597.895
194.176,588.203,595.493
196.544,585.936,593.13
198.912,583.703,590.804
201.28,581.504,588.514
203.648,579.338,586.259
206.016,577.204,584.038
208.384,575.101,581.85
210.752,573.029,579.695
213.12,570.986,577.571
215.488,568.972,575.478
217.856,566.987,573.416
220.224,565.029,571.382
222.592,563.098,569.377
224.96,561.194,567.4
227.328,559.315,565.45
229.696,557.461,563.526
