czas,e_temperatura,temperatura
0,2368,2368
2.368,1976.71,1963.3
4.736,1755.29,1742.61
7.104,1607.02,1596.38
9.472,1498.32,1489.45
11.84,1413.9,1406.41
14.208,1345.67,1339.26
16.576,1288.9,1283.33
18.944,1240.61,1235.71
21.312,1198.81,1194.46
23.68,1162.11,1158.21
26.048,1129.53,1126
28.416,1100.31,1097.1
30.784,1073.89,1070.95
33.152,1049.83,1047.13
35.52,1027.8,1025.3
37.888,1007.5,1005.18
40.256,988.718,986.552
42.624,971.259,969.233
44.992,954.971,953.069
47.36,939.723,937.933
49.728,925.404,923.714
52.096,911.918,910.32
54.464,899.186,897.671
56.832,887.136,885.697
59.2,875.707,874.337
61.568,864.844,863.538
63.936,854.501,853.254
66.304,844.636,843.443
68.672,835.21,834.068
71.04,826.192,825.096
73.408,817.551,816.499
75.776,809.261,808.249
78.144,801.296,800.322
80.512,793.636,792.698
82.88,786.261,785.356
85.248,779.153,778.279
87.616,772.294,771.45
89.984,765.671,764.855
92.352,759.27,758.479
94.72,753.077,752.311
97.088,747.081,746.339
99.456,741.272,740.552
101.824,735.64,734.941
104.192,730.175,729.496
106.56,724.868,724.208
108.928,719.713,719.071
111.296,714.701,714.076
113.664,709.826,709.218
116.032,705.081,704.489
118.4,700.461,699.883
120.768,695.959,695.396
123.136,691.571,691.022
125.504,687.291,686.755
127.872,683.116,682.592
130.24,679.04,678.529
132.608,675.06,674.56
134.976,671.171,670.683
137.344,667.371,666.893
139.712,663.655,663.187
142.08,660.02,659.563
144.448,656.464,656.016
146.816,652.983,652.545
149.184,649.575,649.146
151.552,646.237,645.816
153.92,642.967,642.554
156.288,639.761,639.357
158.656,636.619,636.222
161.024,633.538,633.148
163.392,630.515,630.133
165.76,627.549,627.174
168.128,624.639,624.27
170.496,621.781,621.419
172.864,618.975,618.62
175.232,616.219,615.87
177.6,613.512,613.168
179.968,610.851,610.514
182.336,608.236,607.904
184.704,605.665,605.339
187.072,603.137,602.817
189.44,600.651,600.336
191.808,598.206,597.895
194.176,595.799,595.493
196.544,593.431,593.13
198.912,591.1,590.804
201.28,588.806,588.514
203.648,586.546,586.259
206.016,584.321,584.038
208.384,582.129,581.85
210.752,579.97,579.695
213.12,577.842,577.571
215.488,575.746,575.478
217.856,573.679,573.416
220.224,571.642,571.382
222.592,569.633,569.377
224.96,567.652,567.4
227.328,565.699,565.45
229.696,563.772,563.526
232.064,561.871,561.629
234.432,559.996,559.756
236.8,558.145,557.909
239.168,556.319,556.085
241.536,554.516,554.286
243.904,552.736,552.509
246.272,550.979,550.755
248.64,549.244,549.023
251.008,547.531,547.312
253.376,545.839,545.623
255.744,544.168,543.954
258.112,542.517,542.306
260.48,540.886,540.677
262.848,539.274,539.068
265.216,537.681,537.477
267.584,536.107,535.906
269.952,534.551,534.352
272.32,533.014,532.817
274.688,531.493,531.299
277.056,529.99,529.798
279.424,528.504,528.313
281.792,527.034,526.846
284.16,525.581,525.394
286.528,524.143,523.959
288.896,522.721,522.539
291.264,521.314,521.134
293.632,519.923,519.744
296,518.546,518.369
298.368,517.183,517.008
300.736,515.835,515.662
303.104,514.501,514.329
305.472,513.18,513.011
307.84,511.873,511.705
310.208,510.579,510.413
312.576,509.298,509.133
314.944,508.03,507.867
317.312,506.774,506.613
319.68,505.531,505.371
322.048,504.299,504.141
324.416,503.08,502.924
326.784,501.873,501.717
329.152,500.676,500.523
331.52,499.492,499.339
333.888,498.318,498.167
336.256,497.155,497.006
338.624,496.003,495.855
340.992,494.862,494.715
343.36,493.731,493.586
345.728,492.611,492.467
348.096,491.5,491.357
350.464,490.4,490.258
352.832,489.309,489.168
355.2,488.228,488.089
357.568,487.156,487.018
359.936,486.094,485.957
362.304,485.041,484.905
364.672,483.997,483.862
367.04,482.961,482.828
369.408,481.935,481.803
371.776,480.918,480.787
374.144,479.908,479.779
376.512,478.908,478.779
378.88,477.915,477.788
381.248,476.931,476.805
383.616,475.955,475.829
