Iteracja,x,f(x)
0,1.750000,-0.559435
1,1.725000,-0.054555
2,1.712500,0.201335
3,1.718750,0.073110
4,1.721875,0.009207
5,1.723438,-0.022692
6,1.722656,-0.006747
7,1.722266,0.001229
8,1.722461,-0.002759
9,1.722363,-0.000765
10,1.722314,0.000232
11,1.722339,-0.000267
12,1.722327,-0.000018
13,1.722321,0.000107
14,1.722324,0.000045
15,1.722325,0.000014
16,1.722326,-0.000002
17,1.722326,0.000006
18,1.722326,0.000002
19,1.722326,-0.000000
20,1.722326,0.000001
21,1.722326,0.000000
22,1.722326,0.000000
23,1.722326,0.000000
24,1.722326,-0.000000
25,1.722326,-0.000000
26,1.722326,0.000000
27,1.722326,0.000000
28,1.722326,0.000000
29,1.722326,-0.000000
