czas,e_temperatura,temperatura
0,2368,2368
3.15733,1986.88,1877.55
6.31467,1727.53,1639.63
9.472,1555.68,1489.45
12.6293,1433.93,1382.54
15.7867,1342.18,1300.93
18.944,1269.78,1235.71
22.1013,1210.64,1181.87
25.2587,1161.09,1136.34
28.416,1118.71,1097.1
31.5733,1081.87,1062.77
34.7307,1049.43,1032.37
37.888,1020.54,1005.18
41.0453,994.585,980.642
44.2027,971.074,958.337
47.36,949.635,937.933
50.5173,929.968,919.162
53.6747,911.831,901.809
56.832,895.03,885.697
59.9893,879.4,870.677
63.1467,864.806,856.628
66.304,851.134,843.443
69.4613,838.286,831.034
72.6187,826.18,819.325
75.776,814.743,808.249
78.9333,803.914,797.748
82.0907,793.639,787.773
85.248,783.869,778.279
88.4053,774.562,769.226
91.5627,765.682,760.581
94.72,757.196,752.311
97.8773,749.073,744.39
101.035,741.288,736.792
104.192,733.817,729.496
107.349,726.638,722.479
110.507,719.731,715.726
113.664,713.08,709.218
116.821,706.668,702.94
119.979,700.481,696.879
123.136,694.504,691.022
126.293,688.727,685.356
129.451,683.137,679.873
132.608,677.724,674.56
135.765,672.478,669.41
138.923,667.392,664.413
142.08,662.455,659.563
145.237,657.662,654.851
148.395,653.004,650.271
151.552,648.476,645.816
154.709,644.07,641.481
157.867,639.782,637.26
161.024,635.606,633.148
164.181,631.537,629.14
167.339,627.57,625.232
170.496,623.7,621.419
173.653,619.925,617.698
176.811,616.239,614.064
179.968,612.639,610.514
183.125,609.122,607.044
186.283,605.685,603.653
189.44,602.323,600.336
192.597,599.035,597.09
195.755,595.818,593.914
198.912,592.669,590.804
202.069,589.585,587.758
205.227,586.564,584.774
208.384,583.605,581.85
211.541,580.704,578.984
214.699,577.86,576.173
217.856,575.071,573.416
221.013,572.335,570.71
224.171,569.65,568.056
227.328,567.015,565.45
230.485,564.428,562.891
233.643,561.888,560.378
236.8,559.392,557.909
239.957,556.941,555.483
243.115,554.532,553.099
246.272,552.164,550.755
249.429,549.836,548.45
252.587,547.547,546.184
255.744,545.295,543.954
258.901,543.08,541.761
262.059,540.901,539.602
265.216,538.756,537.477
268.373,536.644,535.386
271.531,534.566,533.327
274.688,532.519,531.299
277.845,530.503,529.301
281.003,528.518,527.333
284.16,526.562,525.394
287.317,524.634,523.484
290.475,522.735,521.601
293.632,520.862,519.744
296.789,519.016,517.914
299.947,517.196,516.109
303.104,515.402,514.329
306.261,513.632,512.574
309.419,511.886,510.842
312.576,510.163,509.133
315.733,508.464,507.448
318.891,506.786,505.784
322.048,505.131,504.141
325.205,503.497,502.52
328.363,501.885,500.92
331.52,500.292,499.339
334.677,498.72,497.779
337.835,497.167,496.238
340.992,495.633,494.715
344.149,494.118,493.212
347.307,492.622,491.726
350.464,491.143,490.258
353.621,489.682,488.807
356.779,488.239,487.374
359.936,486.812,485.957
363.093,485.401,484.557
366.251,484.007,483.172
369.408,482.629,481.803
372.565,481.266,480.45
375.723,479.919,479.111
378.88,478.586,477.788
382.037,477.269,476.479
385.195,475.965,475.184
388.352,474.676,473.903
391.509,473.401,472.636
394.667,472.139,471.382
397.824,470.89,470.141
400.981,469.655,468.914
404.139,468.432,467.699
407.296,467.223,466.497
410.453,466.025,465.307
413.611,464.84,464.128
416.768,463.666,462.962
419.925,462.505,461.808
423.083,461.355,460.665
426.24,460.216,459.533
429.397,459.089,458.412
432.555,457.972,457.302
435.712,456.866,456.202
438.869,455.771,455.114
442.027,454.687,454.035
445.184,453.612,452.967
448.341,452.548,451.908
451.499,451.493,450.86
454.656,450.449,449.821
457.813,449.413,448.791
460.971,448.388,447.771
464.128,447.371,446.761
467.285,446.364,445.759
470.443,445.366,444.766
473.6,444.377,443.782
476.757,443.396,442.807
479.915,442.424,441.84
483.072,441.461,440.881
486.229,440.505,439.931
489.387,439.558,438.989
492.544,438.62,438.055
495.701,437.689,437.129
498.859,436.766,436.21
502.016,435.85,435.3
505.173,434.943,434.397
508.331,434.042,433.501
511.488,433.15,432.612
514.645,432.264,431.731
517.803,431.386,430.857
520.96,430.515,429.99
524.117,429.65,429.13
527.275,428.793,428.277
530.432,427.943,427.431
533.589,427.099,426.591
536.747,426.262,425.758
539.904,425.431,424.931
543.061,424.607,424.111
546.219,423.789,423.297
549.376,422.977,422.489
552.533,422.172,421.687
555.691,421.373,420.891
558.848,420.579,420.102
562.005,419.792,419.318
565.163,419.01,418.54
568.32,418.235,417.768
571.477,417.465,417.001
574.635,416.7,416.24
577.792,415.942,415.485
580.949,415.188,414.735
584.107,414.441,413.99
587.264,413.698,413.251
590.421,412.961,412.517
593.579,412.229,411.788
596.736,411.502,411.064
599.893,410.78,410.345
603.051,410.064,409.632
606.208,409.352,408.923
609.365,408.645,408.219
612.523,407.943,407.52
615.68,407.246,406.826
618.837,406.554,406.136
621.995,405.866,405.451
625.152,405.183,404.771
628.309,404.504,404.095
631.467,403.83,403.424
634.624,403.161,402.757
637.781,402.496,402.095
640.939,401.835,401.437
644.096,401.179,400.783
647.253,400.526,400.133
650.411,399.879,399.488
653.568,399.235,398.847
656.725,398.595,398.209
659.883,397.96,397.576
663.04,397.328,396.947
666.197,396.701,396.322
669.355,396.077,395.701
672.512,395.457,395.084
675.669,394.841,394.47
678.827,394.229,393.86
681.984,393.621,393.254
685.141,393.017,392.652
688.299,392.416,392.054
691.456,391.819,391.459
694.613,391.225,390.867
697.771,390.635,390.28
700.928,390.049,389.695
704.085,389.466,389.114
707.243,388.887,388.537
710.4,388.311,387.963
713.557,387.738,387.393
716.715,387.169,386.825
719.872,386.603,386.262
723.029,386.04,385.701
726.187,385.481,385.144
729.344,384.925,384.589
732.501,384.372,384.038
735.659,383.822,383.491
738.816,383.276,382.946
741.973,382.732,382.404
745.131,382.192,381.865
748.288,381.654,381.33
751.445,381.12,380.797
754.603,380.588,380.268
757.76,380.06,379.741
760.917,379.534,379.217
764.075,379.012,378.696
767.232,378.492,378.178
770.389,377.975,377.663
773.547,377.461,377.151
776.704,376.95,376.641
779.861,376.441,376.134
783.019,375.935,375.63
786.176,375.432,375.128
789.333,374.931,374.629
792.491,374.434,374.133
795.648,373.938,373.64
798.805,373.446,373.149
801.963,372.956,372.66
805.12,372.469,372.174
808.277,371.984,371.691
811.435,371.501,371.21
814.592,371.021,370.732
817.749,370.544,370.256
820.907,370.069,369.782
824.064,369.596,369.311
827.221,369.126,368.842
830.379,368.659,368.376
833.536,368.193,367.912
836.693,367.73,367.451
839.851,367.269,366.991
843.008,366.811,366.534
846.165,366.355,366.079
849.323,365.901,365.627
852.48,365.449,365.177
855.637,365,364.729
858.795,364.553,364.283
861.952,364.108,363.839
865.109,363.665,363.397
868.267,363.224,362.958
871.424,362.786,362.521
874.581,362.349,362.085
877.739,361.915,361.652
880.896,361.482,361.221
884.053,361.052,360.792
887.211,360.624,360.365
890.368,360.198,359.94
893.525,359.774,359.517
896.683,359.351,359.096
899.84,358.931,358.677
902.997,358.513,358.26
906.155,358.097,357.845
909.312,357.682,357.432
912.469,357.27,357.021
915.627,356.859,356.611
918.784,356.45,356.204
921.941,356.044,355.798
925.099,355.639,355.394
928.256,355.236,354.992
931.413,354.834,354.592
934.571,354.435,354.193
937.728,354.037,353.797
940.885,353.641,353.402
944.043,353.247,353.009
947.2,352.854,352.617
950.357,352.464,352.228
953.515,352.075,351.84
956.672,351.688,351.453
959.829,351.302,351.069
962.987,350.918,350.686
