xi,n,Czas naturalny,Wynik naturalny,Czas Hornera,Wynik Hornera,Ró¿nica wyników
0,3,48,363.6,4,363.6,5.68434e-14
1,3,48,336.87,4,336.87,0
2,3,48,312.07,4,312.07,0
3,3,48,289.068,4,289.068,0
4,3,48,267.719,4,267.719,0
5,3,48,247.92,4,247.92,0
6,3,48,229.549,4,229.549,0
7,3,48,212.51,4,212.51,0
8,3,48,196.698,4,196.698,2.84217e-14
9,3,48,182.038,4,182.038,0
10,3,48,168.436,4,168.436,2.84217e-14
11,3,48,155.818,4,155.818,0
12,3,48,144.117,4,144.117,0
13,3,48,133.264,4,133.264,0
14,3,48,123.201,4,123.201,0
15,3,48,113.865,4,113.865,1.42109e-14
16,3,48,105.212,4,105.212,1.42109e-14
17,3,48,97.1823,4,97.1823,1.42109e-14
18,3,48,89.7393,4,89.7393,1.42109e-14
19,3,48,82.8392,4,82.8392,1.42109e-14
20,3,48,76.4377,4,76.4377,1.42109e-14
21,3,48,70.5072,4,70.5072,0
22,3,48,65.0052,4,65.0052,0
23,3,48,59.908,4,59.908,7.10543e-15
24,3,48,55.1809,4,55.1809,0
25,3,48,50.8005,4,50.8005,7.10543e-15
26,3,48,46.7391,4,46.7391,0
27,3,48,42.9763,4,42.9763,0
28,3,48,39.4902,4,39.4902,0
29,3,48,36.2578,4,36.2578,0
30,3,48,33.2628,4,33.2628,0
31,3,48,30.4895,4,30.4895,3.55271e-15
32,3,48,27.9189,4,27.9189,3.55271e-15
33,3,48,25.5375,4,25.5375,0
34,3,48,23.3326,4,23.3326,0
35,3,48,21.2885,4,21.2885,0
36,3,48,19.398,4,19.398,0
37,3,48,17.6452,4,17.6452,0
38,3,48,16.0241,4,16.0241,0
39,3,48,14.5222,4,14.5222,1.77636e-15
40,3,48,13.1313,4,13.1313,0
41,3,48,11.845,4,11.845,1.77636e-15
42,3,48,10.6529,4,10.6529,0
43,3,48,9.55128,4,9.55128,0
44,3,48,8.53208,4,8.53208,0
45,3,48,7.58932,4,7.58932,0
46,3,48,6.71612,4,6.71612,8.88178e-16
47,3,48,5.90977,4,5.90977,8.88178e-16
48,3,48,5.16292,4,5.16292,0
49,3,48,4.47333,4,4.47333,8.88178e-16
50,3,48,3.83552,4,3.83552,4.44089e-16
51,3,48,3.24654,4,3.24654,4.44089e-16
52,3,48,2.70158,4,2.70158,0
53,3,48,2.19908,4,2.19908,4.44089e-16
54,3,48,1.73472,4,1.73472,0
55,3,48,1.30544,4,1.30544,0
56,3,48,0.909221,4,0.909221,1.11022e-16
57,3,48,0.544126,4,0.544126,1.11022e-16
58,3,48,0.206783,4,0.206783,5.55112e-17
59,3,48,-0.104408,4,-0.104408,1.249e-16
60,3,48,-0.391681,4,-0.391681,5.55112e-17
61,3,48,-0.65643,4,-0.65643,1.11022e-16
62,3,48,-0.9,4,-0.9,0
63,3,48,-1.1291,4,-1.1291,2.22045e-16
64,3,48,-1.35571,4,-1.35571,0
65,3,48,-1.57913,4,-1.57913,0
66,3,48,-1.79748,4,-1.79748,0
67,3,48,-2.01039,4,-2.01039,4.44089e-16
68,3,48,-2.21629,4,-2.21629,0
69,3,48,-2.41356,4,-2.41356,4.44089e-16
70,3,48,-2.60123,4,-2.60123,4.44089e-16
71,3,48,-2.77735,4,-2.77735,0
72,3,48,-2.93986,4,-2.93986,4.44089e-16
73,3,48,-3.08715,4,-3.08715,4.44089e-16
74,3,48,-3.21656,4,-3.21656,0
75,3,48,-3.32601,4,-3.32601,0
76,3,48,-3.41287,4,-3.41287,8.88178e-16
77,3,48,-3.47413,4,-3.47413,4.44089e-16
78,3,48,-3.5067,4,-3.5067,4.44089e-16
79,3,48,-3.50718,4,-3.50718,4.44089e-16
80,3,48,-3.47184,4,-3.47184,8.88178e-16
81,3,48,-3.39659,4,-3.39659,8.88178e-16
82,3,48,-3.27718,4,-3.27718,4.44089e-16
83,3,48,-3.10869,4,-3.10869,0
84,3,48,-2.88588,4,-2.88588,4.44089e-16
85,3,48,-2.60307,4,-2.60307,4.44089e-16
86,3,48,-2.25414,4,-2.25414,4.44089e-16
87,3,48,-1.83248,4,-1.83248,2.22045e-16
88,3,48,-1.33099,4,-1.33099,1.33227e-15
89,3,48,-0.741389,4,-0.741389,1.11022e-16
90,3,48,-0.0552615,4,-0.0552615,2.22045e-16
91,3,48,0.735588,4,0.735588,3.33067e-16
92,3,48,1.6432,4,1.6432,0
93,3,48,2.67639,4,2.67639,4.44089e-16
94,3,48,3.84826,4,3.84826,4.44089e-16
95,3,48,5.17102,4,5.17102,1.77636e-15
96,3,48,6.65767,4,6.65767,0
97,3,48,8.32469,4,8.32469,1.77636e-15
98,3,48,10.1874,4,10.1874,0
99,3,48,12.2634,4,12.2634,0
100,3,48,14.5704,4,14.5704,1.77636e-15
101,3,48,17.1302,4,17.1302,0
102,3,48,19.9632,4,19.9632,3.55271e-15
103,3,48,23.0949,4,23.0949,0
104,3,48,26.5507,4,26.5507,1.06581e-14
105,3,48,30.3579,4,30.3579,3.55271e-15
106,3,48,34.5459,4,34.5459,7.10543e-15
107,3,48,39.1484,4,39.1484,7.10543e-15
108,3,48,44.1991,4,44.1991,7.10543e-15
109,3,48,49.737,4,49.737,7.10543e-15
110,3,48,55.8009,4,55.8009,0
111,3,48,62.4353,4,62.4353,0
112,3,48,69.6912,4,69.6912,1.42109e-14
113,3,48,77.6169,4,77.6169,1.42109e-14
114,3,48,86.2637,4,86.2637,2.84217e-14
115,3,48,95.7013,4,95.7013,5.68434e-14
116,3,48,105.985,4,105.985,0
117,3,48,117.188,4,117.188,0
118,3,48,129.38,4,129.38,2.84217e-14
119,3,48,142.653,4,142.653,2.84217e-14
120,3,48,157.081,4,157.081,0
121,3,48,172.767,4,172.767,2.84217e-14
122,3,48,189.807,4,189.807,2.84217e-14
123,3,48,208.314,4,208.314,2.84217e-14
124,3,48,228.402,4,228.402,0
125,3,48,250.2,4,250.2,5.68434e-14
0,5,24,43812,7,43812,7.27596e-12
1,5,24,37048.9,7,37048.9,0
2,5,24,31305.4,7,31305.4,0
3,5,24,26432,7,26432,0
4,5,24,22296.7,7,22296.7,0
5,5,24,18792.9,7,18792.9,3.63798e-12
6,5,24,15824.5,7,15824.5,3.63798e-12
7,5,24,13312.7,7,13312.7,1.81899e-12
8,5,24,11187.5,7,11187.5,1.81899e-12
9,5,24,9392.62,7,9392.62,1.81899e-12
10,5,24,7876.79,7,7876.79,1.81899e-12
11,5,24,6598.08,7,6598.08,9.09495e-13
12,5,24,5520.59,7,5520.59,0
13,5,24,4613.33,7,4613.33,9.09495e-13
14,5,24,3850.56,7,3850.56,9.09495e-13
15,5,24,3209.45,7,3209.45,0
16,5,24,2671.68,7,2671.68,4.54747e-13
17,5,24,2220.67,7,2220.67,0
18,5,24,1843.24,7,1843.24,2.27374e-13
19,5,24,1527.74,7,1527.74,0
20,5,24,1264.17,7,1264.17,0
21,5,24,1044.59,7,1044.59,0
22,5,24,861.662,7,861.662,1.13687e-13
23,5,24,709.718,7,709.718,1.13687e-13
24,5,24,583.574,7,583.574,0
25,5,24,479.105,7,479.105,0
26,5,24,392.685,7,392.685,0
27,5,24,321.377,7,321.377,5.68434e-14
28,5,24,262.645,7,262.645,0
29,5,24,214.325,7,214.325,5.68434e-14
30,5,24,174.676,7,174.676,5.68434e-14
31,5,24,142.228,7,142.228,0
32,5,24,115.697,7,115.697,1.42109e-14
33,5,24,94.0619,7,94.0619,0
34,5,24,76.4637,7,76.4637,0
35,5,24,62.1578,7,62.1578,7.10543e-15
36,5,24,50.5773,7,50.5773,7.10543e-15
37,5,24,41.194,7,41.194,0
38,5,24,33.6204,7,33.6204,7.10543e-15
39,5,24,27.5021,7,27.5021,0
